,date,state,positive,negative,death,hospitalized
1,20210307,AL,499819,1931711,10148,45976
2,20210307,AR,324818,2480716,5319,14926
4,20210307,AZ,826454,3073010,16328,57907
6,20210307,CO,436602,2199458,5989,23904
10,20210307,FL,1909209,9339038,32266,82237
15,20210307,ID,172931,505964,1879,7184
17,20210307,IN,667262,2483156,12737,43217
18,20210307,KS,295861,974686,4812,9387
21,20210307,MA,591356,4404792,16417,19713
22,20210307,MD,387319,3034546,7955,35651
25,20210307,MN,490011,3058514,6550,25978
27,20210307,MP,145,17429,2,4
28,20210307,MS,297581,1459374,6808,9162
31,20210307,ND,100391,305912,1478,3880
32,20210307,NE,203026,771128,2113,6237
33,20210307,NH,76861,579582,1184,1131
34,20210307,NJ,812609,10186941,23574,64396
39,20210307,OK,428997,3146300,4534,24332
43,20210307,RI,128781,677570,2547,9020
44,20210307,SC,525865,4657179,8754,20725
45,20210307,SD,113589,314540,1900,6705
48,20210307,UT,374850,1560293,1976,14891
53,20210307,WI,621654,2647864,7106,26457
55,20210307,WY,54764,182264,682,1391
57,20210306,AL,499411,1929624,10149,45976
58,20210306,AR,324653,2477449,5297,14915
60,20210306,AZ,825119,3059332,16323,57863
62,20210306,CO,435762,2199458,5986,23886
66,20210306,FL,1905185,9319872,32200,82145
71,20210306,ID,172827,505429,1876,7179
73,20210306,IN,666516,2478513,12726,43153
74,20210306,KS,295861,974686,4812,9387
77,20210306,MA,589931,4396764,16374,19713
78,20210306,MD,386610,3032496,7941,35572
81,20210306,MN,489116,3050296,6546,25976
83,20210306,MP,144,17429,2,4
84,20210306,MS,297321,1459374,6805,9162
87,20210306,ND,100357,306021,1478,3878
88,20210306,NE,202653,770586,2113,6229
89,20210306,NH,76695,579186,1181,1127
90,20210306,NJ,810090,10186941,23557,64338
95,20210306,OK,428536,3146300,4534,24277
99,20210306,RI,128516,676149,2547,9020
100,20210306,SC,524457,4631323,8719,20659
101,20210306,SD,113378,314016,1898,6692
104,20210306,UT,374438,1557089,1975,14867
109,20210306,WI,621277,2644343,7102,26432
111,20210306,WY,54764,182264,682,1391
113,20210305,AL,498887,1924758,10122,45976
114,20210305,AR,324326,2472738,5283,14903
116,20210305,AZ,823384,3050890,16269,57819
118,20210305,CO,434654,2193953,5986,23863
122,20210305,FL,1900598,9296590,32093,81902
127,20210305,ID,172587,504925,1876,7164
129,20210305,IN,665285,2473358,12697,43104
130,20210305,KS,295861,974686,4812,9387
133,20210305,MA,588209,4388938,16322,19713
134,20210305,MD,385678,3024949,7930,35378
137,20210305,MN,488170,3043308,6534,25938
139,20210305,MP,144,17429,2,4
140,20210305,MS,296745,1459374,6783,9162
143,20210305,ND,100278,305910,1478,3875
144,20210305,NE,202310,769232,2112,6226
145,20210305,NH,76422,577690,1178,1126
146,20210305,NJ,806370,10186941,23521,65254
151,20210305,OK,427558,3135060,4534,24157
155,20210305,RI,128121,674515,2541,9020
156,20210305,SC,523258,4603549,8699,20605
157,20210305,SD,113229,313260,1896,6681
160,20210305,UT,373868,1553533,1970,14841
165,20210305,WI,620663,2642182,7094,26387
167,20210305,WY,54764,182264,682,1391
169,20210304,AL,498076,1920535,10094,45807
170,20210304,AR,323756,2464286,5273,14876
172,20210304,AZ,821108,3032112,16185,57747
174,20210304,CO,433021,2188741,5974,23791
178,20210304,FL,1894722,9269680,31955,81600
183,20210304,ID,172288,503691,1876,7144
185,20210304,IN,664446,2468877,12663,43044
186,20210304,KS,295109,969651,4816,9355
189,20210304,MA,586310,4380031,16296,19713
190,20210304,MD,384765,3018120,7922,35304
193,20210304,MN,487374,3035998,6521,25896
195,20210304,MP,144,17429,2,4
196,20210304,MS,296154,1459374,6764,9162
199,20210304,ND,100184,305598,1478,3875
200,20210304,NE,201973,768130,2092,6157
201,20210304,NH,76178,577245,1178,1127
202,20210304,NJ,802669,10096351,23491,64137
207,20210304,OK,426641,3126761,4534,24103
211,20210304,RI,127727,673128,2539,9002
212,20210304,SC,521563,4578250,8660,20542
213,20210304,SD,113065,312421,1896,6664
216,20210304,UT,372708,1549760,1955,14783
221,20210304,WI,619942,2639148,7082,26330
223,20210304,WY,54685,181957,682,1389
225,20210303,AL,497154,1915545,10029,45723
226,20210303,AR,323353,2455309,5261,14826
228,20210303,AZ,819954,3022710,16089,57697
230,20210303,CO,431670,2183138,5970,23735
234,20210303,FL,1888725,9243230,31829,81278
239,20210303,ID,171836,502595,1871,7131
241,20210303,IN,663511,2464082,12633,42955
242,20210303,KS,295109,969651,4816,9355
245,20210303,MA,584743,4371477,16252,19713
246,20210303,MD,383956,3012179,7919,35223
249,20210303,MN,486434,3021554,6507,25863
251,20210303,MP,144,17429,2,4
252,20210303,MS,295675,1459374,6743,9162
255,20210303,ND,100067,305504,1478,3871
256,20210303,NE,201608,766781,2091,6147
257,20210303,NH,75990,575625,1175,1123
258,20210303,NJ,799476,10096351,23449,64050
263,20210303,OK,425746,3116303,4534,24064
267,20210303,RI,127285,671542,2534,8982
268,20210303,SC,519996,4558148,8620,20501
269,20210303,SD,112833,311512,1893,6654
272,20210303,UT,372708,1545558,1955,14783
277,20210303,WI,619087,2634999,7069,26279
279,20210303,WY,54616,181681,682,1388
281,20210302,AL,494421,1908302,9991,45699
282,20210302,AR,322949,2448042,5254,14795
284,20210302,AZ,818670,3007671,16060,57591
286,20210302,CO,430615,2178555,5959,23593
290,20210302,FL,1882865,9225981,31696,80972
295,20210302,ID,171462,501356,1867,7111
297,20210302,IN,662750,2460279,12623,42862
298,20210302,KS,294302,964803,4743,9290
301,20210302,MA,582844,4362966,16182,19444
302,20210302,MD,383170,3006690,7905,35152
305,20210302,MN,485655,3017033,6490,25826
307,20210302,MP,143,17429,2,4
308,20210302,MS,295295,1459374,6724,9162
311,20210302,ND,99957,305430,1477,3874
312,20210302,NE,201346,765676,2084,6140
313,20210302,NH,75803,576072,1170,1119
314,20210302,NJ,795785,9983526,23321,63917
319,20210302,OK,424999,3100280,4534,23999
323,20210302,RI,126849,670284,2525,8966
324,20210302,SC,518823,4549598,8576,20428
325,20210302,SD,112652,310811,1888,6640
328,20210302,UT,371979,1541145,1949,14753
333,20210302,WI,618307,2631712,7050,26222
335,20210302,WY,54527,181403,682,1385
337,20210301,AL,493769,1905141,9931,45648
338,20210301,AR,322509,2444369,5250,14763
340,20210301,AZ,817821,3002212,15979,57589
342,20210301,CO,429839,2175502,5952,23550
346,20210301,FL,1875818,9192789,31556,80659
351,20210301,ID,171140,500096,1860,7076
353,20210301,IN,662213,2457982,12595,42815
354,20210301,KS,294302,964803,4743,9290
357,20210301,MA,582543,4355357,16144,19444
358,20210301,MD,382702,3003717,7879,35069
361,20210301,MN,485230,3015197,6486,25727
363,20210301,MP,143,17429,2,4
364,20210301,MS,294994,1459374,6681,9012
367,20210301,ND,99852,305019,1475,3871
368,20210301,NE,200946,764460,2082,6106
369,20210301,NH,75588,575922,1170,1118
370,20210301,NJ,792496,9868082,23273,63777
375,20210301,OK,424888,3084829,4478,23995
379,20210301,RI,126588,669132,2517,8947
380,20210301,SC,517976,4535334,8562,20406
381,20210301,SD,112470,310347,1888,6632
384,20210301,UT,371492,1538003,1940,14724
389,20210301,WI,617700,2629622,7014,26158
391,20210301,WY,54471,181196,671,1384
393,20210228,AL,493252,1903691,9929,45428
394,20210228,AR,322415,2441857,5243,14763
396,20210228,AZ,816782,2996831,15980,57599
398,20210228,CO,428303,2172628,5951,23476
402,20210228,FL,1874154,9185534,31406,80572
407,20210228,ID,171140,500096,1860,7076
409,20210228,IN,661673,2455528,12573,42775
410,20210228,KS,293663,960800,4735,9249
413,20210228,MA,581148,4348539,16118,19444
414,20210228,MD,382099,2999585,7869,35000
417,20210228,MN,484594,3008703,6483,25719
419,20210228,MP,143,17429,2,4
420,20210228,MS,294795,1436186,6681,9012
423,20210228,ND,99809,304951,1472,3867
424,20210228,NE,200848,764004,2082,6102
425,20210228,NH,75424,576603,1170,1118
426,20210228,NJ,789356,9868082,23252,63713
431,20210228,OK,424508,3084829,4428,23985
435,20210228,RI,126436,668442,2514,8900
436,20210228,SC,516823,4510915,8530,20387
437,20210228,SD,112427,310122,1888,6626
440,20210228,UT,371235,1535603,1935,14695
445,20210228,WI,617367,2626796,7014,26127
